idx_type,date,value
i6_index,1982-07-01,-34.2959477875434
i6_index,1982-10-01,-33.5469734941818
i6_index,1983-01-01,-28.5741426868076
i6_index,1983-04-01,-7.69493811777563
i6_index,1983-07-01,-13.3755401695479
i6_index,1983-10-01,-9.76567980138151
i6_index,1984-01-01,-0.690354046115187
i6_index,1984-04-01,-5.04173191385958
i6_index,1984-07-01,0.607932623815524
i6_index,1984-10-01,-3.75537045444379
i6_index,1985-01-01,0.309605063838315
i6_index,1985-04-01,-0.0292216618478456
i6_index,1985-07-01,0.435675944769429
i6_index,1985-10-01,4.01340487418266
i6_index,1986-01-01,13.9910531755572
i6_index,1986-04-01,8.73633980967679
i6_index,1986-07-01,2.51318225113787
i6_index,1986-10-01,3.70094885160134
i6_index,1987-01-01,1.67235282930644
i6_index,1987-04-01,0.0899483639073049
i6_index,1987-07-01,-1.82901391716575
i6_index,1987-10-01,-5.14283205767165
i6_index,1988-01-01,-8.26556374789558
i6_index,1988-04-01,-10.0381858878178
i6_index,1988-07-01,3.3909961684855
i6_index,1988-10-01,3.74220403982244
i6_index,1989-01-01,13.3530327134603
i6_index,1989-04-01,2.2781130408971
i6_index,1989-07-01,-6.60470404962885
i6_index,1989-10-01,3.59045738843318
i6_index,1990-01-01,-10.9860817366936
i6_index,1990-04-01,-11.1565809504462
i6_index,1990-07-01,-11.4324142752813
i6_index,1990-10-01,-48.1538386094766
i6_index,1991-01-01,-51.0480987020679
i6_index,1991-04-01,-24.9225372991312
i6_index,1991-07-01,-38.9591780391049
i6_index,1991-10-01,-44.97676178302
i6_index,1992-01-01,-51.4208178827032
i6_index,1992-04-01,-38.6992252574262
i6_index,1992-07-01,-43.479931174965
i6_index,1992-10-01,-48.613072358184
i6_index,1993-01-01,-46.4885375362808
i6_index,1993-04-01,-26.8809223010447
i6_index,1993-07-01,-30.2745501860167
i6_index,1993-10-01,-14.5987488243918
i6_index,1994-01-01,-5.09283292657509
i6_index,1994-04-01,5.66981974543795
i6_index,1994-07-01,1.76164386976944
i6_index,1994-10-01,-3.37866830100877
i6_index,1995-01-01,-16.162720663749
i6_index,1995-04-01,-7.31097409045741
i6_index,1995-07-01,-12.8362638087748
i6_index,1995-10-01,-13.91081499032
i6_index,1996-01-01,-26.466774642244
i6_index,1996-04-01,-30.3753589539823
i6_index,1996-07-01,-38.816350432739
i6_index,1996-10-01,-30.0016882664175
i6_index,1997-01-01,-23.7814006479858
i6_index,1997-04-01,-14.5735044804062
i6_index,1997-07-01,-2.2411865314764
i6_index,1997-10-01,0.7402886533089
i6_index,1998-01-01,0.618810344182528
i6_index,1998-04-01,6.26381471604814
i6_index,1998-07-01,11.4769523551792
i6_index,1998-10-01,0.702454320198238
i6_index,1999-01-01,2.21979801948514
i6_index,1999-04-01,-1.55845799406168
i6_index,1999-07-01,8.13581070597321
i6_index,1999-10-01,14.0975635848305
i6_index,2000-01-01,21.5263319084939
i6_index,2000-04-01,21.4496555425282
i6_index,2000-07-01,22.4008515641435
i6_index,2000-10-01,15.7537845551639
i6_index,2001-01-01,18.3919303079695
i6_index,2001-04-01,10.203357536187
i6_index,2001-07-01,5.44041568155951
i6_index,2001-10-01,-33.618710880569
i6_index,2002-01-01,0.11052886430225
i6_index,2002-04-01,1.44140070412661
i6_index,2002-07-01,-8.09632834072581
i6_index,2002-10-01,-20.9419311212533
i6_index,2003-01-01,-12.6240886971973
i6_index,2003-04-01,-17.6273012551965
i6_index,2003-07-01,-12.1115278161802
i6_index,2003-10-01,-7.857393960967
i6_index,2004-01-01,8.36209796517841
i6_index,2004-04-01,9.42158111648573
i6_index,2004-07-01,3.43702719730119
i6_index,2004-10-01,-5.34958483983119
i6_index,2005-01-01,1.41234519794327
i6_index,2005-04-01,-1.54446452729447
i6_index,2005-07-01,-10.4083919322092
i6_index,2005-10-01,-9.7144465835886
i6_index,2006-01-01,10.8013632667779
i6_index,2006-04-01,7.72790644632079
i6_index,2006-07-01,12.0738309414735
i6_index,2006-10-01,6.87849760518274
i6_index,2007-01-01,11.7268606133279
i6_index,2007-04-01,15.6494666068977
i6_index,2007-07-01,8.14786430299644
i6_index,2007-10-01,14.9086419103961
i6_index,2008-01-01,4.35286943558178
i6_index,2008-04-01,-0.0200836252031653
i6_index,2008-07-01,-17.0748647815908
i6_index,2008-10-01,-35.3441605024605
i6_index,2009-01-01,-37.7607703621321
i6_index,2009-04-01,-49.0426640523287
i6_index,2009-07-01,-39.3059741911725
i6_index,2009-10-01,-14.0480858250098
i6_index,2010-01-01,-7.00697059673085
i6_index,2010-04-01,14.4564789217878
i6_index,2010-07-01,15.8934653380651
i6_index,2010-10-01,7.03187365766826
i6_index,2011-01-01,9.83028296669227
i6_index,2011-04-01,-1.33135796579238
i6_index,2011-07-01,-17.0223484864298
i6_index,2011-10-01,-24.3624620771045
i6_index,2012-01-01,-19.3862625893633
i6_index,2012-04-01,-7.70752164631517
i6_index,2012-07-01,-17.3787603588107
i6_index,2012-10-01,-16.8193037821792
i6_index,2013-01-01,-5.95115029590934
i6_index,2013-04-01,-4.51121853570758
i6_index,2013-07-01,-8.61539713313478
i6_index,2013-10-01,-4.5691221922409
